Prefix;Protocol;Gateway;Interface;
0.0.0.0/0;['OSPF'];['10.64.240.46'];['xe-9/0/3:2.3901'];
10.64.240.1/32;['Local'];[];['irb.3900'];
10.64.240.45/32;['Local'];[];['xe-9/0/3:2.3901'];
10.64.240.60/30;['OSPF', 'BGP', 'BGP'];['10.64.240.2', '10.1.1.222', '10.1.1.222', '10.1.1.222', '10.1.1.222', '10.1.1.222', '10.1.1.222', '10.1.1.222', '10.1.1.222'];['irb.3900', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,'];
10.64.240.65/32;['Local'];[];['xe-9/0/2:1.3901'];
10.64.240.69/32;['Local'];[];['xe-9/0/2:0.3901'];
10.64.240.253/32;['Local'];[];['ae5.3903'];
10.68.0.0/18;['BGP', 'BGP'];['10.0.101.25', '10.0.101.229', '10.0.101.210', '10.0.101.25', '10.0.101.25', '10.0.101.229', '10.0.101.210', '10.0.101.25'];['xe-0/0/0:3.0,', 'xe-9/1/0:3.0,', 'xe-5/2/1.0,', 'xe-0/0/0:3.0,', 'xe-0/0/0:3.0,', 'xe-9/1/0:3.0,', 'xe-5/2/1.0,', 'xe-0/0/0:3.0,'];
10.80.120.0/21;['BGP', 'BGP'];['10.0.101.25', '10.0.101.89', '10.0.1.226', '10.0.1.226', '10.0.101.25', '10.0.101.89', '10.0.1.226', '10.0.1.226'];['xe-0/0/0:3.0,', 'xe-0/0/2:3.0,', 'xe-9/0/2:3.0,', 'xe-9/0/2:3.0,', 'xe-0/0/0:3.0,', 'xe-0/0/2:3.0,', 'xe-9/0/2:3.0,', 'xe-9/0/2:3.0,'];
10.92.24.0/21;['BGP', 'BGP'];['10.0.101.169', '10.0.101.229', '10.0.101.109', '10.0.101.210', '10.0.101.169', '10.0.101.229', '10.0.101.109', '10.0.101.210'];['xe-0/0/3:3.0,', 'xe-9/1/0:3.0,', 'xe-9/0/0:3.0,', 'xe-5/2/1.0,', 'xe-0/0/3:3.0,', 'xe-9/1/0:3.0,', 'xe-9/0/0:3.0,', 'xe-5/2/1.0,'];
10.92.36.0/23;['Direct'];[];['irb.981'];
10.94.24.0/21;['BGP', 'BGP'];['10.0.101.133', '10.0.101.229', '10.0.101.229', '10.0.101.202', '10.0.101.133', '10.0.101.229', '10.0.101.229', '10.0.101.202'];['xe-0/0/1:3.0,', 'xe-9/1/0:3.0,', 'xe-9/1/0:3.0,', 'xe-5/0/1.0,', 'xe-0/0/1:3.0,', 'xe-9/1/0:3.0,', 'xe-9/1/0:3.0,', 'xe-5/0/1.0,'];
10.96.0.0/19;['BGP', 'BGP'];['10.0.101.169', '10.0.101.229', '10.0.101.109', '10.0.101.210', '10.0.101.169', '10.0.101.229', '10.0.101.109', '10.0.101.210'];['xe-0/0/3:3.0,', 'xe-9/1/0:3.0,', 'xe-9/0/0:3.0,', 'xe-5/2/1.0,', 'xe-0/0/3:3.0,', 'xe-9/1/0:3.0,', 'xe-9/0/0:3.0,', 'xe-5/2/1.0,'];
10.99.16.1/32;['Local'];[];['irb.107'];
10.148.238.0/24;['BGP', 'BGP'];['10.0.101.25', '10.0.101.133', '10.0.101.89', '10.0.101.169', '10.0.101.109', '10.0.101.57', '10.0.1.226', '10.0.101.125', '10.0.101.198', '10.0.101.202', '10.0.101.206', '10.0.101.210', '10.0.101.229', '10.0.101.25', '10.0.101.133', '10.0.101.89', '10.0.101.169', '10.0.101.109', '10.0.101.57', '10.0.1.226', '10.0.101.125', '10.0.101.198', '10.0.101.202', '10.0.101.206', '10.0.101.210', '10.0.101.229'];['xe-0/0/0:3.0,', 'xe-0/0/1:3.0,', 'xe-0/0/2:3.0,', 'xe-0/0/3:3.0,', 'xe-9/0/0:3.0,', 'xe-9/0/1:3.0,', 'xe-9/0/2:3.0,', 'xe-9/0/3:3.0,', 'xe-5/0/0.0,', 'xe-5/0/1.0,', 'xe-5/2/0.0,', 'xe-5/2/1.0,', 'xe-9/1/0:3.0,', 'xe-0/0/0:3.0,', 'xe-0/0/1:3.0,', 'xe-0/0/2:3.0,', 'xe-0/0/3:3.0,', 'xe-9/0/0:3.0,', 'xe-9/0/1:3.0,', 'xe-9/0/2:3.0,', 'xe-9/0/3:3.0,', 'xe-5/0/0.0,', 'xe-5/0/1.0,', 'xe-5/2/0.0,', 'xe-5/2/1.0,', 'xe-9/1/0:3.0,'];
224.0.0.5/32;['OSPF'];[];[];
