Prefix;Protocol;Gateway;Interface;
10.1.1.1/32;['BGP', 'BGP'];['10.1.1.222', '10.1.1.222', '10.1.1.222', '10.1.1.222', '10.1.1.222', '10.1.1.222', '10.1.1.222', '10.1.1.222'];['et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,'];
10.1.17.1/32;['Local'];[];['ae5.901'];
10.1.17.9/32;['Local'];[];['ae5.901'];
10.1.17.226/32;['Local'];[];['ae5.2002'];
10.2.211.0/24;['BGP', 'BGP'];['10.0.101.57', '10.0.101.229', '10.0.101.210', '10.0.101.57', '10.0.101.57', '10.0.101.229', '10.0.101.210', '10.0.101.57'];['xe-9/0/1:3.0,', 'xe-9/1/0:3.0,', 'xe-5/2/1.0,', 'xe-9/0/1:3.0,', 'xe-9/0/1:3.0,', 'xe-9/1/0:3.0,', 'xe-5/2/1.0,', 'xe-9/0/1:3.0,'];
10.2.213.0/24;['BGP', 'BGP'];['10.0.101.169', '10.0.101.25', '10.0.101.89', '10.0.101.206', '10.0.101.133', '10.0.101.57', '10.0.101.202', '10.0.101.202', '10.0.101.229', '10.0.101.210', '10.0.101.210', '10.0.101.202', '10.0.101.202', '10.0.101.169', '10.0.101.25', '10.0.101.89', '10.0.101.206', '10.0.101.133', '10.0.101.57', '10.0.101.202', '10.0.101.202', '10.0.101.229', '10.0.101.210', '10.0.101.210', '10.0.101.202', '10.0.101.202'];['xe-0/0/3:3.0,', 'xe-0/0/0:3.0,', 'xe-0/0/2:3.0,', 'xe-5/2/0.0,', 'xe-0/0/1:3.0,', 'xe-9/0/1:3.0,', 'xe-5/0/1.0,', 'xe-5/0/1.0,', 'xe-9/1/0:3.0,', 'xe-5/2/1.0,', 'xe-5/2/1.0,', 'xe-5/0/1.0,', 'xe-5/0/1.0,', 'xe-0/0/3:3.0,', 'xe-0/0/0:3.0,', 'xe-0/0/2:3.0,', 'xe-5/2/0.0,', 'xe-0/0/1:3.0,', 'xe-9/0/1:3.0,', 'xe-5/0/1.0,', 'xe-5/0/1.0,', 'xe-9/1/0:3.0,', 'xe-5/2/1.0,', 'xe-5/2/1.0,', 'xe-5/0/1.0,', 'xe-5/0/1.0,'];
10.2.215.0/24;['BGP', 'BGP'];['10.0.101.202', '10.0.101.202', '10.0.101.89', '10.0.101.125', '10.0.101.202', '10.0.101.202', '10.0.101.89', '10.0.101.125'];['xe-5/0/1.0,', 'xe-5/0/1.0,', 'xe-0/0/2:3.0,', 'xe-9/0/3:3.0,', 'xe-5/0/1.0,', 'xe-5/0/1.0,', 'xe-0/0/2:3.0,', 'xe-9/0/3:3.0,'];
10.3.211.0/24;['BGP', 'BGP'];['10.1.1.222', '10.1.1.222', '10.1.1.222', '10.1.1.226', '10.1.1.226', '10.1.1.226', '10.1.1.226', '10.1.1.226', '10.1.1.222', '10.1.1.222', '10.1.1.222', '10.1.1.226', '10.1.1.226', '10.1.1.226', '10.1.1.226', '10.1.1.226'];['et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-9/0/5.4085,', 'et-9/0/5.4085,', 'et-9/0/5.4085,', 'et-9/0/5.4085,', 'et-9/0/5.4085,', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-0/0/5.4084,', 'et-9/0/5.4085,', 'et-9/0/5.4085,', 'et-9/0/5.4085,', 'et-9/0/5.4085,', 'et-9/0/5.4085,'];
10.3.213.0/24;['BGP', 'BGP'];['10.0.101.25', '10.0.101.133', '10.0.101.89', '10.0.101.169', '10.0.101.109', '10.0.101.57', '10.0.1.226', '10.0.101.125', '10.0.101.198', '10.0.101.202', '10.0.101.206', '10.0.101.210', '10.0.101.229', '10.0.101.25', '10.0.101.133', '10.0.101.89', '10.0.101.169', '10.0.101.109', '10.0.101.57', '10.0.1.226', '10.0.101.125', '10.0.101.198', '10.0.101.202', '10.0.101.206', '10.0.101.210', '10.0.101.229'];['xe-0/0/0:3.0,', 'xe-0/0/1:3.0,', 'xe-0/0/2:3.0,', 'xe-0/0/3:3.0,', 'xe-9/0/0:3.0,', 'xe-9/0/1:3.0,', 'xe-9/0/2:3.0,', 'xe-9/0/3:3.0,', 'xe-5/0/0.0,', 'xe-5/0/1.0,', 'xe-5/2/0.0,', 'xe-5/2/1.0,', 'xe-9/1/0:3.0,', 'xe-0/0/0:3.0,', 'xe-0/0/1:3.0,', 'xe-0/0/2:3.0,', 'xe-0/0/3:3.0,', 'xe-9/0/0:3.0,', 'xe-9/0/1:3.0,', 'xe-9/0/2:3.0,', 'xe-9/0/3:3.0,', 'xe-5/0/0.0,', 'xe-5/0/1.0,', 'xe-5/2/0.0,', 'xe-5/2/1.0,', 'xe-9/1/0:3.0,'];
10.4.114.0/24;['BGP', 'BGP'];['10.0.101.25', '10.0.101.133', '10.0.101.89', '10.0.101.169', '10.0.101.109', '10.0.101.57', '10.0.1.226', '10.0.101.125', '10.0.101.198', '10.0.101.202', '10.0.101.206', '10.0.101.210', '10.0.101.229', '10.0.101.25', '10.0.101.133', '10.0.101.89', '10.0.101.169', '10.0.101.109', '10.0.101.57', '10.0.1.226', '10.0.101.125', '10.0.101.198', '10.0.101.202', '10.0.101.206', '10.0.101.210', '10.0.101.229'];['xe-0/0/0:3.0,', 'xe-0/0/1:3.0,', 'xe-0/0/2:3.0,', 'xe-0/0/3:3.0,', 'xe-9/0/0:3.0,', 'xe-9/0/1:3.0,', 'xe-9/0/2:3.0,', 'xe-9/0/3:3.0,', 'xe-5/0/0.0,', 'xe-5/0/1.0,', 'xe-5/2/0.0,', 'xe-5/2/1.0,', 'xe-9/1/0:3.0,', 'xe-0/0/0:3.0,', 'xe-0/0/1:3.0,', 'xe-0/0/2:3.0,', 'xe-0/0/3:3.0,', 'xe-9/0/0:3.0,', 'xe-9/0/1:3.0,', 'xe-9/0/2:3.0,', 'xe-9/0/3:3.0,', 'xe-5/0/0.0,', 'xe-5/0/1.0,', 'xe-5/2/0.0,', 'xe-5/2/1.0,', 'xe-9/1/0:3.0,'];
