name;default_rd;protocols;interfaces;
AKBARS-MED;28840:909;ipv4;['Vl15'];
CCTV_AXXON;65000:1314;ipv4;['Vl75', 'Vl721'];
CENSOR;65000:1600;ipv4;['Vl1600'];
EGE_2015;28840:480;ipv4;['Vl2113'];
FEDKAZ_BASHRTCOMM;28840:1161;ipv4;['Vl581'];
FTTH;65000:306;ipv4;['Vl1101', 'Vl1150', 'Vl1151'];
GIBDD;65000:350;ipv4;['Vl110', 'Vl112'];
GTS-MGKH;28840:506;ipv4;['Vl81'];
HP_IUM;65000:510;ipv4;['Vl51'];
INET;65000:500;ipv4;['Vl3', 'Vl9', 'Vl13', 'Vl32', 'Vl34', 'Vl36', 'Vl60', 'Vl83', 'Vl84', 'Vl132', 'Vl142', 'Vl315', 'Vl4000', 'Vl90', 'Vl105', 'Vl22', 'Vl630', 'Vl111', 'Vl400', 'Vl69', 'Vl378', 'Vl591', 'Vl379', 'Vl17'];
IPTV;65000:90;ipv4;['Vl801', 'Vl1201', 'Vl1220', 'Vl1202', 'Vl1206', 'Vl1215', 'Vl1236', 'Vl1237', 'Vl1238'];
KSPD;65000:57;ipv4;['Vl507'];
LTE_LTE;65000:803;ipv4;['Vl2001'];
LTE_OAM;65000:804;ipv4;['Vl3001', 'Vl3002', 'Vl3004'];
MCHS_GU;65000:676;ipv4;['Vl279'];
MCX_BASHRTCOMM;28840:1165;ipv4;['Vl580'];
MGMT;65000:10;ipv4;['Lo2', 'Vl1', 'Vl2', 'Vl888', 'Vl900'];
MGMT_Firewall;65000:66;ipv4;['Vl606'];
MONITOR_TLS;28840:511;ipv4;['Vl21'];
NALOG-TBT;28840:600;ipv4;['Vl31'];
NORTEL_NGN;65000:622;ipv4;['Vl372', 'Vl373', 'Vl4004', 'Vl4007', 'Vl4087'];
NORTEL_OAM;65000:602;ipv4;['Vl4003', 'Vl4006', 'Vl4089'];
PFR;28840:5;ipv4;['Vl130'];
PKD;28840:11;ipv4;['Vl66'];
POCHTA;28840:161;ipv4;['Vl380'];
PWR_MGMT;65000:99;ipv4;['Vl3501'];
ROSNEDVIG;28840:12;ipv4;['Vl39', 'Vl70'];
ROS_GOS;28840:7;ipv4;['Vl41'];
RTK-UCN-MGMT;28840:1017;ipv4;['Vl3400', 'Vl3401', 'Vl3402', 'Vl3403', 'Vl3404', 'Vl3405', 'Vl3406', 'Vl3407', 'Vl3408', 'Vl3409', 'Vl3410', 'Vl3411'];
Rosselhoz;28840:533;ipv4;['Vl14', 'Vl108', 'Vl109'];
SB-RT-1;28840:101;ipv4;['Vl67', 'Vl85', 'Vl87'];
SB-RT-2;65000:126;ipv4;['Vl107'];
SBERBANK;65000:420;ipv4;['Vl310'];
SIP_ADSL;65000:637;ipv4;['Vl1401', 'Vl1402', 'Vl1403', 'Vl1404', 'Vl1405', 'Vl1406'];
SUD_TLC;28840:1244;ipv4;['Vl586'];
SYSTEM_112_OAM;28840:2001;ipv4;['Vl4028'];
SYSTEM_112_RTP;28840:2000;ipv4;['Vl4029', 'Vl2105'];
SZO;28840:555;ipv4;['Vl450', 'Vl451', 'Vl452', 'Vl453', 'Vl454', 'Vl455', 'Vl456', 'Vl457', 'Vl458', 'Vl459', 'Vl460', 'Vl461', 'Vl462', 'Vl463', 'Vl464'];
TATARINFORM;28840:143;ipv4;['Vl131'];
TATENERGO_EES;28840:1107;ipv4;['Vl10'];
TATENERGO_EOESB;28840:1108;ipv4;['Vl11'];
TATMVDCAMERA;28840:893;ipv4;['Vl583', 'Vl584', 'Vl744', 'Vl745', 'Vl743'];
TATSPIRTPROM;28840:112;ipv4;['Vl12'];
TATTRANSGAZ;28840:113;ipv4;['Vl313'];
TELEGRAF;28840:613;ipv4;['Vl156'];
TR69;65000:69;ipv4;['Vl1301', 'Vl1302', 'Vl1303', 'Vl1304', 'Vl1305', 'Vl1306'];
UFSIN;28840:164;ipv4;['Vl255'];
VAMIN;65000:155;ipv4;['Vl180', 'Vl181'];
WAP;65000:100;ipv4;['Vl975'];
WEB_UIK;28840:146;ipv4;['Vl317', 'Vl318', 'Vl320', 'Vl321', 'Vl322', 'Vl323', 'Vl324', 'Vl325', 'Vl326', 'Vl327', 'Vl328', 'Vl329', 'Vl330', 'Vl331', 'Vl332', 'Vl333', 'Vl334', 'Vl335', 'Vl336', 'Vl337', 'Vl338', 'Vl339', 'Vl340', 'Vl341', 'Vl342', 'Vl343', 'Vl344', 'Vl610'];
WUS;65000:300;ipv4;['Vl1501', 'Vl1502', 'Vl1503', 'Vl1504', 'Vl1505', 'Vl1506', 'Vl104'];
Wifi-Street;65000:690;ipv4;['Vl905'];
fed_kaz;28840:604;ipv4;['Vl82'];
izbirkom;28840:156;ipv4;['Vl135'];
m_Zelax;65000:901;ipv4;['Vl901'];
mvd;65000:582;ipv4;['Vl582', 'Vl275', 'Vl213'];
