Name;RD;Proto;Interface;
AKBARS-MED;28840:909;ipv4;Vl15;
CCTV_AXXON;65000:1314;ipv4;Vl75;
CCTV_AXXON;65000:1314;ipv4;Vl721;
CENSOR;65000:1600;ipv4;Vl1600;
EGE_2015;28840:480;ipv4;Vl2113;
FEDKAZ_BASHRTCOMM;28840:1161;ipv4;Vl581;
FTTH;65000:306;ipv4;Vl1101;
FTTH;65000:306;ipv4;Vl1150;
FTTH;65000:306;ipv4;Vl1151;
GIBDD;65000:350;ipv4;Vl110;
GIBDD;65000:350;ipv4;Vl112;
GTS-MGKH;28840:506;ipv4;Vl81;
HP_IUM;65000:510;ipv4;Vl51;
INET;65000:500;ipv4;Vl3;
INET;65000:500;ipv4;Vl9;
INET;65000:500;ipv4;Vl13;
INET;65000:500;ipv4;Vl32;
INET;65000:500;ipv4;Vl34;
INET;65000:500;ipv4;Vl36;
INET;65000:500;ipv4;Vl60;
INET;65000:500;ipv4;Vl83;
INET;65000:500;ipv4;Vl84;
INET;65000:500;ipv4;Vl132;
INET;65000:500;ipv4;Vl142;
INET;65000:500;ipv4;Vl315;
INET;65000:500;ipv4;Vl4000;
INET;65000:500;ipv4;Vl90;
INET;65000:500;ipv4;Vl105;
INET;65000:500;ipv4;Vl22;
INET;65000:500;ipv4;Vl630;
INET;65000:500;ipv4;Vl111;
INET;65000:500;ipv4;Vl400;
INET;65000:500;ipv4;Vl69;
INET;65000:500;ipv4;Vl378;
INET;65000:500;ipv4;Vl591;
INET;65000:500;ipv4;Vl379;
INET;65000:500;ipv4;Vl17;
IPTV;65000:90;ipv4;Vl801;
IPTV;65000:90;ipv4;Vl1201;
IPTV;65000:90;ipv4;Vl1220;
IPTV;65000:90;ipv4;Vl1202;
IPTV;65000:90;ipv4;Vl1206;
IPTV;65000:90;ipv4;Vl1215;
IPTV;65000:90;ipv4;Vl1236;
IPTV;65000:90;ipv4;Vl1237;
IPTV;65000:90;ipv4;Vl1238;
KSPD;65000:57;ipv4;Vl507;
LTE_LTE;65000:803;ipv4;Vl2001;
LTE_OAM;65000:804;ipv4;Vl3001;
LTE_OAM;65000:804;ipv4;Vl3002;
LTE_OAM;65000:804;ipv4;Vl3004;
MCHS_GU;65000:676;ipv4;Vl279;
MCX_BASHRTCOMM;28840:1165;ipv4;Vl580;
MGMT;65000:10;ipv4;Lo2;
MGMT;65000:10;ipv4;Vl1;
MGMT;65000:10;ipv4;Vl2;
MGMT;65000:10;ipv4;Vl888;
MGMT;65000:10;ipv4;Vl900;
MGMT_Firewall;65000:66;ipv4;Vl606;
MONITOR_TLS;28840:511;ipv4;Vl21;
NALOG-TBT;28840:600;ipv4;Vl31;
NORTEL_NGN;65000:622;ipv4;Vl372;
NORTEL_NGN;65000:622;ipv4;Vl373;
NORTEL_NGN;65000:622;ipv4;Vl4004;
NORTEL_NGN;65000:622;ipv4;Vl4007;
NORTEL_NGN;65000:622;ipv4;Vl4087;
NORTEL_OAM;65000:602;ipv4;Vl4003;
NORTEL_OAM;65000:602;ipv4;Vl4006;
NORTEL_OAM;65000:602;ipv4;Vl4089;
PFR;28840:5;ipv4;Vl130;
PKD;28840:11;ipv4;Vl66;
POCHTA;28840:161;ipv4;Vl380;
PWR_MGMT;65000:99;ipv4;Vl3501;
ROSNEDVIG;28840:12;ipv4;Vl39;
ROSNEDVIG;28840:12;ipv4;Vl70;
ROS_GOS;28840:7;ipv4;Vl41;
RTK-UCN-MGMT;28840:1017;ipv4;Vl3400;
RTK-UCN-MGMT;28840:1017;ipv4;Vl3401;
RTK-UCN-MGMT;28840:1017;ipv4;Vl3402;
RTK-UCN-MGMT;28840:1017;ipv4;Vl3403;
RTK-UCN-MGMT;28840:1017;ipv4;Vl3404;
RTK-UCN-MGMT;28840:1017;ipv4;Vl3405;
RTK-UCN-MGMT;28840:1017;ipv4;Vl3406;
RTK-UCN-MGMT;28840:1017;ipv4;Vl3407;
RTK-UCN-MGMT;28840:1017;ipv4;Vl3408;
RTK-UCN-MGMT;28840:1017;ipv4;Vl3409;
RTK-UCN-MGMT;28840:1017;ipv4;Vl3410;
RTK-UCN-MGMT;28840:1017;ipv4;Vl3411;
Rosselhoz;28840:533;ipv4;Vl14;
Rosselhoz;28840:533;ipv4;Vl108;
Rosselhoz;28840:533;ipv4;Vl109;
SB-RT-1;28840:101;ipv4;Vl67;
SB-RT-1;28840:101;ipv4;Vl85;
SB-RT-1;28840:101;ipv4;Vl87;
SB-RT-2;65000:126;ipv4;Vl107;
SBERBANK;65000:420;ipv4;Vl310;
SIP_ADSL;65000:637;ipv4;Vl1401;
SIP_ADSL;65000:637;ipv4;Vl1402;
SIP_ADSL;65000:637;ipv4;Vl1403;
SIP_ADSL;65000:637;ipv4;Vl1404;
SIP_ADSL;65000:637;ipv4;Vl1405;
SIP_ADSL;65000:637;ipv4;Vl1406;
SUD_TLC;28840:1244;ipv4;Vl586;
SYSTEM_112_OAM;28840:2001;ipv4;Vl4028;
SYSTEM_112_RTP;28840:2000;ipv4;Vl4029;
SYSTEM_112_RTP;28840:2000;ipv4;Vl2105;
SZO;28840:555;ipv4;Vl450;
SZO;28840:555;ipv4;Vl451;
SZO;28840:555;ipv4;Vl452;
SZO;28840:555;ipv4;Vl453;
